Threshold,Target,Model,Metrics,Accuracy
3dB,BCI,KNN,SignalDetected + AvgPower + RobustnessIndex,0.6190476190476191
3dB,ITR,KNN,SignalDetected + AvgPower + RobustnessIndex,0.38095238095238093
3dB,BCI,KNN,SignalDetected + AvgPower + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,SignalDetected + AvgPower + FreqEntropy,0.47619047619047616
3dB,BCI,KNN,SignalDetected + AvgPower + StrongResponses,0.6190476190476191
3dB,ITR,KNN,SignalDetected + AvgPower + StrongResponses,0.2857142857142857
3dB,BCI,KNN,SignalDetected + PowerVariability + DetectedTimePercentage,0.42857142857142855
3dB,ITR,KNN,SignalDetected + PowerVariability + DetectedTimePercentage,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerVariability + DetectionTime,0.6666666666666666
3dB,ITR,KNN,SignalDetected + PowerVariability + DetectionTime,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerVariability + DetectionRate,0.47619047619047616
3dB,ITR,KNN,SignalDetected + PowerVariability + DetectionRate,0.3333333333333333
3dB,BCI,KNN,SignalDetected + PowerVariability + DetectionPctVar,0.47619047619047616
3dB,ITR,KNN,SignalDetected + PowerVariability + DetectionPctVar,0.5714285714285714
3dB,BCI,KNN,SignalDetected + PowerVariability + EarlyDetectionRatio,0.38095238095238093
3dB,ITR,KNN,SignalDetected + PowerVariability + EarlyDetectionRatio,0.42857142857142855
3dB,BCI,KNN,SignalDetected + PowerVariability + PowerSkewness,0.5714285714285714
3dB,ITR,KNN,SignalDetected + PowerVariability + PowerSkewness,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerVariability + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,SignalDetected + PowerVariability + RobustnessIndex,0.3333333333333333
3dB,BCI,KNN,SignalDetected + PowerVariability + FreqEntropy,0.6190476190476191
3dB,ITR,KNN,SignalDetected + PowerVariability + FreqEntropy,0.42857142857142855
3dB,BCI,KNN,SignalDetected + PowerVariability + StrongResponses,0.42857142857142855
3dB,ITR,KNN,SignalDetected + PowerVariability + StrongResponses,0.42857142857142855
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + DetectionTime,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + DetectionTime,0.2857142857142857
